id,person_id,book_id,quantity,date
88,7398,91226,2,2020-05-10
89,3422,15463,5,2020-01-27
90,8453,27335,1,2020-04-20
91,5501,293,5,2020-09-14
92,6073,16534,2,2020-04-08
93,9926,53136,1,2020-04-01
94,6879,61142,4,2020-07-30
95,8622,92873,5,2020-12-04
96,5932,43696,3,2020-03-02
97,18,52831,3,2020-06-29
98,9235,73763,5,2020-02-17
99,1923,94237,2,2020-04-10
100,6007,49153,3,2020-05-10
101,7091,55307,3,2020-01-17
102,3859,91113,2,2020-09-09
103,596,4732,4,2020-11-06
104,8113,95503,1,2020-12-26
105,8439,78949,4,2020-10-31
106,6732,50619,2,2020-06-27
107,6138,97878,4,2020-02-14
108,1629,2336,4,2020-08-15
109,8393,50401,4,2020-05-27
110,6243,74409,4,2020-07-16
111,6084,88872,2,2020-01-24
112,2714,26989,2,2020-06-25
113,9678,72017,4,2020-05-22
114,9130,18927,3,2020-03-22
115,3076,26400,3,2020-12-25
116,7298,82055,3,2020-10-24
117,4797,68986,1,2020-03-03
118,1860,79112,2,2020-11-03
119,4965,44955,3,2020-08-24
120,8985,9128,2,2020-01-15
121,8663,56023,4,2020-04-08
122,8178,95470,1,2020-07-03
123,1417,46584,2,2020-08-24
124,6364,97413,4,2020-06-26
125,1763,87879,1,2020-04-13
126,3751,65854,3,2020-06-03
127,9482,77932,1,2020-03-10
128,3695,10751,3,2020-11-11
129,4549,16630,3,2020-09-01
130,9187,58070,2,2020-08-10
131,1106,46987,3,2020-04-10
132,7167,97120,3,2020-07-19
133,3849,84082,3,2020-08-25
134,810,79286,2,2020-09-17
135,9383,42845,2,2020-08-02
136,7672,99634,4,2020-08-26
137,8482,50007,2,2020-10-30
138,8870,53825,5,2020-01-29
139,8169,89577,1,2020-10-23
140,314,50044,2,2020-07-12
141,8174,89990,5,2020-08-29
142,7555,17045,5,2020-07-12
143,546,18426,5,2020-04-22
144,4436,47376,2,2020-02-07
145,6098,30380,5,2020-12-07
146,6428,39672,2,2020-10-01
147,2288,56805,3,2020-03-29
148,1239,61267,4,2020-03-02
149,8653,82347,1,2020-10-04
150,6639,43954,3,2020-03-08
151,7907,96158,3,2020-09-18
152,345,97120,4,2020-03-05
153,4157,76368,1,2020-11-01
154,8842,71662,1,2020-07-24
155,224,10953,4,2020-03-03
156,7483,13034,3,2020-01-14
157,2078,50236,4,2020-10-16
158,6616,21072,5,2020-05-11
159,1799,19337,3,2020-11-13
160,5187,16630,1,2020-09-25
161,8914,59476,2,2020-04-14
162,6031,88650,1,2020-03-29
163,8717,48539,4,2020-11-18
164,2703,82751,5,2020-06-05
165,3060,96217,1,2020-04-22
166,3780,64724,2,2020-04-01
167,9270,93018,1,2020-03-16
168,5511,98818,2,2020-07-23
169,5330,79222,3,2020-02-06
170,8703,67091,4,2020-09-20
171,3339,99532,4,2020-06-15
172,729,77328,3,2020-09-28
173,4778,57676,4,2020-09-03
174,7838,24840,3,2020-05-18
175,2192,42843,3,2020-05-05
176,6822,82677,5,2020-12-16
177,9460,56235,1,2020-01-04
178,5024,56709,5,2020-08-20
179,8733,44309,3,2020-02-14
180,5735,53478,3,2020-05-25
181,6440,44374,2,2020-09-09
182,2983,37913,3,2020-05-12
183,9039,85346,1,2020-12-09
184,6684,83078,1,2020-02-29
185,248,64859,4,2020-12-01
186,5355,21732,5,2020-11-15
187,4861,99584,4,2020-10-04
188,6642,17663,4,2020-12-15
189,8714,90031,5,2020-09-27
190,506,88528,4,2020-03-18
191,6640,81143,3,2020-05-13
192,9009,35308,3,2020-10-14
193,5118,79604,2,2020-05-24
194,4207,97624,3,2020-06-18
195,100,84815,5,2020-10-04
196,6438,13103,5,2020-12-01
197,8727,82156,5,2020-09-20
198,1499,90771,5,2020-08-21
199,9663,17863,3,2020-06-08
200,2215,10109,1,2020-02-13
201,6795,92579,5,2020-09-29
202,6102,28514,1,2020-11-19
203,5934,40744,3,2020-05-06
204,8286,35917,5,2020-09-27
205,157,61284,2,2020-09-24
206,6892,72899,2,2020-05-18
207,9479,9479,1,2020-08-02
208,4816,77465,1,2020-09-29
209,2716,57908,3,2020-10-21
210,870,37678,1,2020-05-10
211,388,59726,4,2020-09-23
212,4577,22485,4,2020-11-30
213,4163,17541,2,2020-04-11
214,8669,245,2,2020-03-13
215,3890,85229,3,2020-11-22
216,379,268,1,2020-01-13
217,8997,16813,2,2020-01-24
218,14,56838,5,2020-09-27
219,8555,30463,5,2020-08-28
220,2322,63240,2,2020-10-03
221,6980,36378,3,2020-05-03
222,3311,79940,4,2020-01-30
223,2454,37056,3,2020-04-06
224,9768,39336,1,2020-05-21
225,5367,63019,4,2020-03-22
226,6982,70675,3,2020-04-28
227,1658,33343,3,2020-12-13
228,9211,7363,4,2020-05-01
229,5933,36722,4,2020-05-06
230,7301,61988,4,2020-08-01
231,1030,25546,4,2020-04-21
232,6621,59229,5,2020-05-18
233,7568,27584,1,2020-05-19
234,3498,9230,4,2020-04-13
235,8047,85811,5,2020-01-13
236,3016,41812,1,2020-10-16
237,9984,69595,1,2020-08-11
238,6118,95285,5,2020-08-28
239,6275,90801,4,2020-05-23
240,8283,70782,2,2020-07-01
241,4372,5151,2,2020-09-29
242,9035,81110,1,2020-09-12
243,83,28185,1,2020-07-25
244,7773,37670,2,2020-03-21
245,3072,79307,2,2020-09-17
246,3192,58806,5,2020-02-14
247,6216,63650,2,2020-08-20
248,3660,42979,5,2020-06-14
249,3592,6887,2,2020-06-06
250,4745,65012,2,2020-09-06
251,4836,6421,4,2020-02-20
252,2458,58564,4,2020-04-13
253,7300,71524,1,2020-10-30
254,995,97606,3,2020-11-09
255,9896,2491,3,2020-12-16
256,1162,96756,3,2020-02-19
257,7899,3579,3,2020-05-23
258,493,53113,4,2020-07-09
259,652,68034,5,2020-06-29
260,2018,7690,2,2020-08-14
261,2708,3083,1,2020-10-13
262,796,49965,1,2020-03-30
263,4900,17606,4,2020-04-29
264,601,26267,2,2020-05-05
265,6378,1625,5,2020-03-14
266,6077,44995,4,2020-03-22
267,17,87413,3,2020-03-29
268,7661,31497,4,2020-02-19
269,9396,27959,5,2020-04-30
270,870,40530,1,2020-01-14
271,6071,36190,3,2020-07-01
272,5120,85280,3,2020-09-21
273,8611,96571,5,2020-03-03
274,1744,83960,3,2020-01-18
275,2904,18603,4,2020-12-16
276,8086,97859,4,2020-09-14
277,9830,58613,2,2020-11-06
278,4072,6115,2,2020-11-23
279,1262,19104,5,2020-04-06
280,2693,27616,3,2020-05-20
281,2359,71963,3,2020-10-21
282,1785,94527,4,2020-08-08
283,5359,47847,5,2020-10-03
284,1116,29353,1,2020-12-26
285,2578,43578,3,2020-01-17
286,8455,70099,1,2020-05-14
287,2900,5214,4,2020-01-12
288,6377,45092,5,2020-01-30
289,9076,22209,5,2020-11-21
290,8075,32247,4,2020-04-16
291,6253,49794,4,2020-03-10
292,6786,84568,4,2020-03-16
293,712,59772,4,2020-11-17
294,9085,83006,5,2020-03-31
295,9016,74871,1,2020-01-03
296,7688,65285,5,2020-10-16
297,6894,82710,3,2020-06-04
298,7742,3124,3,2020-11-24
299,4373,52693,5,2020-11-15
300,3136,93638,3,2020-06-13
301,4603,96650,4,2020-09-04
302,836,56222,3,2020-10-03
303,9737,77554,4,2020-11-26
304,1031,57385,2,2020-09-18
305,9213,44855,2,2020-04-01
306,8640,47621,1,2020-11-23
307,7814,60850,5,2020-08-05
308,3627,56257,1,2020-10-04
309,2309,5974,4,2020-08-02
310,809,53415,3,2020-12-11
311,8993,26131,3,2020-05-19
312,3500,19645,4,2020-12-19
313,5445,96671,2,2020-08-21
314,3258,32419,2,2020-02-08
315,8845,35057,3,2020-10-21
316,2412,9030,4,2020-07-16
317,5651,49331,5,2020-08-21
318,7856,94694,4,2020-09-20
319,9267,10301,2,2020-01-26
320,5779,4844,1,2020-08-22
321,3445,34293,1,2020-08-25
322,5805,32688,1,2020-08-29
323,2596,96772,4,2020-09-27
324,6382,37111,3,2020-09-25
325,8997,98386,1,2020-04-21
326,9300,32853,3,2020-04-11
327,5834,2531,5,2020-11-04
328,1208,7100,2,2020-03-12
329,9322,19694,4,2020-08-29
330,6243,2095,2,2020-07-26
331,3386,73529,2,2020-02-22
332,2605,16199,3,2020-05-29
333,8941,33867,3,2020-11-27
334,7443,29805,1,2020-06-24
335,1914,7779,3,2020-09-20
336,2529,47124,5,2020-08-21
337,8442,73264,3,2020-11-20
338,1090,57380,5,2020-05-16
339,317,49697,5,2020-02-14
340,6801,42528,1,2020-03-17
341,757,64210,4,2020-05-22
342,3577,43801,1,2020-07-15
343,9881,19696,2,2020-06-05
344,7208,5779,5,2020-05-17
345,9372,19678,1,2020-10-09
346,3710,66856,1,2020-07-12
347,4209,11501,5,2020-12-01
348,3744,33455,2,2020-05-27
349,3662,76842,2,2020-12-06
350,1253,2313,3,2020-01-23
351,2955,85857,5,2020-03-15
352,3265,90278,4,2020-10-31
353,2541,26458,4,2020-06-02
354,1227,7575,2,2020-12-12
355,9989,31629,2,2020-08-04
356,9960,75843,4,2020-11-07
357,392,62557,4,2020-02-29
358,2037,20189,5,2020-03-30
359,4939,60987,1,2020-02-15
360,8022,37918,2,2020-01-11
361,5041,5961,3,2020-12-04
362,180,81919,2,2020-08-07
363,9617,21972,3,2020-07-14
364,7996,29103,2,2020-02-08
365,8112,98158,5,2020-06-14
366,4508,59280,1,2020-01-18
367,1486,48824,5,2020-10-15
368,2755,53174,3,2020-06-08
369,9821,42361,5,2020-11-05
370,2532,67483,4,2020-12-14
371,3365,33505,2,2020-06-23
372,5700,92754,3,2020-03-24
373,4075,32422,3,2020-06-19
374,4896,14507,2,2020-10-16
375,1734,67250,2,2020-09-01
376,4715,54516,4,2020-10-26
377,7735,91069,5,2020-02-01
378,1063,27167,4,2020-02-16
379,1510,73436,1,2020-09-03
380,1925,45968,5,2020-11-26
381,2490,30745,1,2020-12-25
382,1604,24924,1,2020-11-01
383,1876,70040,4,2020-10-30
384,6639,46554,2,2020-01-01
385,416,1707,5,2020-02-19
386,8756,16568,4,2020-01-11
387,1518,93211,4,2020-07-24
388,4673,66904,2,2020-08-14
389,9354,29864,5,2020-06-27
390,1218,2092,1,2020-02-20
391,4545,53369,2,2020-11-28
392,1473,51428,5,2020-07-28
393,6262,98399,4,2020-05-21
394,9307,67343,1,2020-06-03
395,5149,96934,5,2020-05-30
396,5669,42989,2,2020-02-06
397,5403,1258,4,2020-06-15
398,8208,39058,4,2020-11-20
399,6691,13994,4,2020-06-10
400,1896,42514,2,2020-01-05
401,7198,669,1,2020-03-11
402,3817,61953,2,2020-04-21
403,2159,1068,3,2020-08-20
404,5997,12464,3,2020-04-21
405,3543,4250,3,2020-05-22
406,4255,55717,3,2020-06-28
407,7649,57785,1,2020-05-18
408,2405,43735,2,2020-08-18
409,4117,94813,1,2020-06-06
410,6200,40829,5,2020-06-08
411,5618,46032,3,2020-05-28
412,3719,11318,2,2020-11-18
413,5588,96379,4,2020-05-23
414,8899,41443,2,2020-11-10
415,4033,61437,5,2020-11-25
416,6146,68661,4,2020-07-21
417,5182,82721,3,2020-01-11
418,4747,67589,5,2020-09-11
419,2425,73253,5,2020-02-18
420,8798,79718,2,2020-07-05
421,1172,38011,3,2020-12-03
422,8823,1572,3,2020-12-15
423,706,44314,3,2020-01-03
424,5272,79952,1,2020-07-07
425,4129,90381,3,2020-11-07
426,2600,22598,5,2020-09-23
427,2869,69936,4,2020-05-14
428,5313,70734,4,2020-03-15
429,3472,32762,4,2020-06-02
430,8351,74421,2,2020-01-06
431,6357,61391,4,2020-03-29
432,4954,99511,1,2020-09-02
433,441,92521,2,2020-12-16
434,1576,69821,4,2020-11-19
435,6549,36439,3,2020-05-01
436,2270,49176,2,2020-03-25
437,6927,90126,3,2020-12-15
438,2055,17591,3,2020-06-30
439,113,90016,4,2020-07-14
440,7283,22227,2,2020-05-19
441,8903,98025,1,2020-12-13
442,4983,82872,5,2020-05-30
443,3395,65010,3,2020-06-10
444,6755,22886,3,2020-02-29
445,2243,92371,2,2020-01-02
446,7014,75727,4,2020-05-11
447,7785,12682,5,2020-10-05
448,7250,40823,3,2020-06-10
449,2585,99144,2,2020-10-09
450,5402,98085,5,2020-08-28
451,2846,19523,5,2020-03-15
452,1813,47841,2,2020-04-05
453,7690,82147,1,2020-07-25
454,6216,34711,5,2020-01-30
455,6806,20735,3,2020-03-01
456,4248,86013,2,2020-12-17
457,1269,59326,2,2020-06-12
458,9556,94007,1,2020-01-11
459,2108,63592,2,2020-10-26
460,4880,80136,1,2020-09-13
461,8650,41417,5,2020-02-29
462,1576,34162,1,2020-05-30
463,4010,46750,2,2020-03-25
464,5809,31088,3,2020-12-11
465,4004,95778,5,2020-01-13
466,7257,99800,2,2020-04-18
467,6846,40061,1,2020-07-12
468,3815,7705,2,2020-09-30
469,8432,709,2,2020-03-19
470,4983,75693,3,2020-04-17
471,6194,25173,5,2020-02-27
472,3734,91623,5,2020-03-13
473,8998,28085,2,2020-06-18
474,7440,93355,5,2020-10-06
475,9376,66348,3,2020-08-19
476,8762,94767,1,2020-01-13
477,2330,2066,2,2020-12-16
478,9044,66161,3,2020-09-24
479,7914,50704,4,2020-09-22
480,3999,77057,3,2020-08-11
481,7496,97530,5,2020-12-18
482,5396,60897,4,2020-08-24
483,1957,8695,4,2020-06-07
484,6838,33713,2,2020-09-20
485,5165,68504,2,2020-06-01
486,2941,9901,3,2020-05-24
487,5285,75759,4,2020-11-16
488,9453,38786,5,2020-07-14
489,3569,60471,5,2020-02-16
490,510,73508,3,2020-02-05
491,9536,32737,5,2020-01-13
492,6679,24527,2,2020-01-22
493,9531,62193,5,2020-08-11
494,9645,23522,4,2020-10-21
495,8794,95032,1,2020-02-20
496,9705,95662,5,2020-02-16
497,7488,98698,1,2020-12-16
498,7935,91986,2,2020-07-10
499,6556,51601,2,2020-07-07
500,4374,81776,1,2020-05-31
501,5425,57158,5,2020-09-03
502,1844,13128,3,2020-03-05
503,8348,39122,3,2020-09-22
504,7595,36671,5,2020-08-10
505,9090,64213,3,2020-06-12
506,1823,64127,5,2020-09-30
507,2027,45772,3,2020-02-08
508,3366,91531,2,2020-06-27
509,3328,89130,5,2020-05-31
510,5541,11479,5,2020-05-15
511,96,97996,2,2020-07-19
512,1181,81543,1,2020-10-04
513,921,18156,3,2020-02-29
514,5511,63752,2,2020-12-08
515,3178,97813,1,2020-10-13
516,9512,81568,4,2020-10-26
517,3637,7887,3,2020-03-26
518,4292,87573,1,2020-11-28
519,377,60011,1,2020-01-29
520,3860,61383,5,2020-06-07
521,1781,44736,3,2020-03-12
522,9538,49901,1,2020-05-31
523,3462,89414,4,2020-08-12
524,2816,16084,3,2020-05-19
525,551,73830,3,2020-09-27
526,3633,52620,4,2020-03-21
527,4152,97058,1,2020-06-16
528,6791,22502,3,2020-06-22
529,5068,16978,5,2020-11-30
530,9960,9961,3,2020-05-31
531,6798,61298,5,2020-05-24
532,4445,13965,2,2020-03-28
533,8069,43856,2,2020-06-13
534,2197,12136,2,2020-02-02
535,2974,68679,4,2020-09-30
536,3407,44498,3,2020-09-11
537,2078,69294,2,2020-10-25
538,9702,53391,3,2020-12-20
539,2989,36819,4,2020-03-30
540,5095,7635,3,2020-04-03
541,651,63636,4,2020-09-20
542,9522,48953,1,2020-10-27
543,5971,17561,1,2020-07-01
544,794,11722,4,2020-05-23
545,2171,31944,5,2020-03-24
546,1298,3896,3,2020-01-12
547,2081,84513,2,2020-09-09
548,7031,48184,5,2020-12-22
549,6650,70105,5,2020-03-31
550,8234,61257,4,2020-08-17
551,5490,20935,4,2020-06-05
552,4976,36493,3,2020-07-13
553,8040,78392,4,2020-09-27
554,5991,96516,5,2020-01-01
555,9510,92383,2,2020-07-11
556,5950,38874,5,2020-12-09
557,7391,17319,5,2020-07-14
558,3776,5576,1,2020-05-05
559,3095,47522,3,2020-12-18
560,1004,15554,5,2020-09-02
561,5694,29085,5,2020-08-02
562,4628,15481,3,2020-07-26
563,9688,90055,3,2020-11-29
564,534,57797,3,2020-10-08
565,3040,29570,5,2020-03-29
566,2854,85032,3,2020-07-14
567,5665,31692,4,2020-04-05
568,8178,25401,5,2020-09-14
569,1184,25768,5,2020-01-11
570,3751,83698,5,2020-05-28
571,4021,69326,4,2020-02-12
572,5409,10700,3,2020-11-14
573,4873,26522,1,2020-11-01
574,3541,34774,3,2020-06-16
575,6008,79672,1,2020-01-06
576,9312,11670,3,2020-02-01
577,3928,24220,3,2020-05-10
578,3205,34742,1,2020-03-26
579,8019,80675,3,2020-03-05
580,7155,97274,3,2020-03-07
581,8236,56167,1,2020-02-27
582,6756,94763,3,2020-05-24
583,5893,75226,4,2020-06-09
584,3596,3147,1,2020-09-03
585,327,25459,1,2020-02-15
586,7386,21401,4,2020-08-22
587,2568,61278,3,2020-05-19
588,2047,65780,5,2020-11-06
589,8001,3391,4,2020-05-25
590,191,94903,2,2020-06-23
591,388,83801,2,2020-08-09
592,8476,57878,2,2020-07-20
593,3534,15694,1,2020-10-19
594,7474,62324,2,2020-11-08
595,3044,8082,2,2020-08-03
596,6153,8341,4,2020-03-01
597,3871,64009,1,2020-05-12
598,3120,44377,1,2020-10-19
599,1453,17990,1,2020-02-26
600,335,13168,5,2020-05-13
601,381,75917,3,2020-04-03
602,3971,96927,2,2020-10-19
603,1401,42366,5,2020-11-20
604,9243,88197,1,2020-03-04
605,4513,51732,4,2020-08-28
606,3639,98463,2,2020-06-17
607,2747,607,1,2020-10-08
608,477,84850,5,2020-12-08
609,4376,31618,5,2020-06-29
610,98,97650,1,2020-07-25
611,8241,54587,4,2020-04-20
612,9844,60645,3,2020-12-18
613,7246,55963,2,2020-05-31
614,2590,28431,4,2020-04-20
615,479,55899,1,2020-03-19
616,4757,69777,1,2020-09-28
617,380,75180,5,2020-05-13
618,2751,23769,1,2020-05-10
619,8757,3068,1,2020-08-08
620,2801,88487,2,2020-08-17
621,1845,15578,2,2020-06-12
622,81,72516,5,2020-06-30
623,7624,76660,1,2020-07-08
624,3864,37618,1,2020-10-30
625,7172,88830,3,2020-06-07
626,6881,65439,5,2020-08-07
627,8677,60800,4,2020-08-13
628,6648,5133,5,2020-10-02
629,3929,28437,5,2020-07-24
630,7990,25429,4,2020-10-03
631,7349,88050,1,2020-05-17
632,2755,88591,1,2020-05-17
633,3532,70438,5,2020-04-17
634,9054,80605,1,2020-01-29
635,1438,97356,2,2020-03-29
636,3821,61499,3,2020-12-10
637,7034,9851,2,2020-04-12
638,6182,87367,1,2020-09-26
639,678,88245,5,2020-07-29
640,3500,11843,2,2020-02-14
641,7617,69714,1,2020-05-13
642,4471,80094,5,2020-05-21
643,7085,13607,1,2020-01-05
644,6342,56407,1,2020-10-27
645,3569,62709,2,2020-07-26
646,3395,73630,4,2020-02-03
647,8648,24584,2,2020-06-01
648,422,29222,4,2020-12-06
649,5784,72561,3,2020-11-03
650,3407,10246,5,2020-10-14
651,9631,17401,5,2020-02-14
652,1176,40578,4,2020-06-13
653,7792,25076,5,2020-02-13
654,8992,26600,1,2020-02-06
655,2403,56452,5,2020-10-14
656,2156,30503,3,2020-02-09
657,5696,50169,4,2020-02-11
658,7935,84206,1,2020-08-05
659,930,76502,2,2020-12-03
660,4259,30304,1,2020-09-09
661,3714,86447,1,2020-10-09
662,2973,96110,2,2020-08-23
663,7675,76772,5,2020-05-25
664,486,55446,2,2020-09-23
665,4441,41081,4,2020-06-21
666,9357,69430,4,2020-10-26
667,6326,58250,2,2020-01-30
668,3231,31692,4,2020-11-08
669,6176,52859,3,2020-08-24
670,9163,83372,5,2020-04-12
671,3103,48502,4,2020-09-19
672,8839,14640,4,2020-08-16
673,6644,97383,3,2020-11-17
674,8332,6644,2,2020-10-29
675,4421,40365,3,2020-11-21
676,6166,51257,3,2020-07-05
677,3645,86298,3,2020-01-04
678,6311,1131,4,2020-11-08
679,8076,56284,4,2020-07-06
680,3080,39197,1,2020-12-24
681,7774,22540,2,2020-03-10
682,4136,84106,3,2020-12-23
683,616,83605,5,2020-06-03
684,2163,22018,5,2020-09-14
685,8686,92399,2,2020-04-02
686,6358,48526,4,2020-06-17
687,3467,79078,5,2020-07-29
688,3220,54777,3,2020-10-08
689,2140,40791,1,2020-08-24
690,7327,55423,5,2020-03-17
691,4777,43285,1,2020-07-12
692,5384,94,4,2020-05-21
693,9411,32505,5,2020-10-24
694,328,58632,1,2020-08-01
695,6664,3787,3,2020-08-11
696,3239,38643,3,2020-05-15
697,5075,1147,1,2020-11-22
698,2462,28417,3,2020-08-02
699,1194,93908,1,2020-06-10
700,6732,76764,5,2020-01-01
701,2738,52509,5,2020-01-04
702,4369,30991,1,2020-03-06
703,1164,59685,2,2020-06-05
704,3137,51855,5,2020-01-20
705,2307,6739,5,2020-07-17
706,3356,22745,5,2020-08-20
707,7624,44713,1,2020-06-29
708,7490,66942,2,2020-08-12
709,3489,27435,3,2020-02-09
710,6996,87135,2,2020-03-06
711,7177,55826,5,2020-03-09
712,8843,37764,1,2020-11-16
713,9736,40057,5,2020-05-10
714,9395,83642,4,2020-07-02
715,6517,19488,4,2020-05-04
716,7735,26408,3,2020-09-07
717,4833,33059,3,2020-05-08
718,7264,44124,1,2020-10-24
719,9324,73952,5,2020-03-23
720,6092,97340,2,2020-07-31
721,4328,98338,5,2020-10-20
722,7854,73685,4,2020-09-01
723,2919,82457,3,2020-08-25
724,5628,21854,4,2020-07-23
725,2153,12419,5,2020-09-01
726,6129,17605,5,2020-03-21
727,6299,79263,4,2020-11-25
728,7795,70739,5,2020-02-17
729,6245,52339,3,2020-07-19
730,6916,12008,2,2020-05-22
731,7551,39273,5,2020-10-10
732,5506,4632,5,2020-02-20
733,4409,70227,5,2020-08-02
734,7008,8898,2,2020-08-16
735,5489,61087,4,2020-11-14
736,1123,47115,4,2020-07-21
737,7892,26680,1,2020-05-07
738,6476,16516,4,2020-04-29
739,936,98563,1,2020-08-04
740,1242,19839,1,2020-03-23
741,1259,27893,4,2020-08-11
742,336,27660,4,2020-11-04
743,8362,37760,2,2020-02-02
744,5813,4262,4,2020-11-28
745,5843,57352,2,2020-01-07
746,638,93846,1,2020-09-12
747,6317,77917,4,2020-07-29
748,8242,56877,4,2020-09-29
749,4584,66868,2,2020-01-08
750,709,83574,4,2020-04-01
751,7259,44292,1,2020-11-24
752,2808,56840,1,2020-09-17
753,833,45733,2,2020-02-27
754,6953,9428,3,2020-11-09
755,5485,70753,1,2020-02-15
756,340,45865,5,2020-06-18
757,2755,88220,4,2020-01-15
758,5884,49319,3,2020-07-27
759,2348,73576,5,2020-03-12
760,8134,77545,3,2020-11-05
761,5950,5753,4,2020-10-27
762,8618,93785,1,2020-03-10
763,6573,28160,1,2020-07-24
764,9896,6969,1,2020-09-21
765,9296,16996,3,2020-12-27
766,6087,19527,3,2020-07-02
767,9341,47073,4,2020-05-13
768,1909,75756,4,2020-05-13
769,6968,51286,2,2020-12-20
770,8990,92599,1,2020-12-09
771,3499,75632,2,2020-06-26
772,7507,76701,3,2020-03-03
773,5574,67815,1,2020-04-04
774,6724,3044,4,2020-03-22
775,7451,69641,5,2020-06-23
776,2315,32553,5,2020-11-14
777,5106,91454,2,2020-10-17
778,2472,65557,4,2020-09-03
779,8418,28850,2,2020-04-23
780,1167,54860,5,2020-02-17
781,4258,75297,1,2020-11-22
782,2128,38891,3,2020-03-25
783,36,63365,2,2020-01-26
784,7116,62973,1,2020-12-19
785,2750,6861,4,2020-06-15
786,8891,63633,4,2020-06-05
787,4598,70237,4,2020-07-16
788,2643,98224,5,2020-11-26
789,780,71228,2,2020-12-16
790,918,83110,1,2020-01-10
791,8543,57289,3,2020-05-04
792,7190,31514,3,2020-03-13
793,5990,63437,2,2020-01-16
794,8678,12112,5,2020-03-29
795,2602,19043,1,2020-10-31
796,8319,94708,4,2020-03-03
797,2623,46357,2,2020-01-25
798,5304,96984,3,2020-08-27
799,9774,73226,2,2020-08-30
800,2341,28567,4,2020-03-08
801,9906,70617,3,2020-05-15
802,3106,28022,1,2020-10-26
803,2371,2397,2,2020-04-11
804,4260,41717,4,2020-11-13
805,9482,26305,5,2020-07-08
806,569,92038,5,2020-06-24
807,2269,43197,1,2020-09-25
808,8969,92097,2,2020-09-16
809,7100,43904,4,2020-12-17
810,1969,81349,5,2020-09-18
811,6140,88435,4,2020-04-24
812,5563,19757,4,2020-05-07
813,5596,65067,3,2020-01-31
814,7961,74217,3,2020-07-29
815,7581,89069,3,2020-03-29
816,9550,86645,1,2020-08-25
817,6814,24434,4,2020-04-20
818,1148,33777,4,2020-05-29
819,4898,68675,5,2020-10-25
820,5289,28244,2,2020-11-11
821,3924,59112,4,2020-10-08
822,7216,23704,4,2020-10-10
823,9206,17587,5,2020-08-14
824,1687,12668,4,2020-03-13
825,4628,83368,1,2020-11-12
826,9151,66538,5,2020-06-01
